出番ID,ライブ_from,ライブ_長さ(分),グループID,ステージID,グループ名_raw,グループ名,ステージ名,備考
0,11:15,30,112,0,衛星とカラテア,衛星とカラテア,Spotify O-EAST,
1,11:45,30,114,0,透色ドロップ,透色ドロップ,Spotify O-EAST,
2,12:15,30,89,0,ドラマチックレコード,ドラマチックレコード,Spotify O-EAST,
3,12:45,30,100,0,ラフ×ラフ,ラフ×ラフ,Spotify O-EAST,
4,13:15,30,86,0,クマリデパート,クマリデパート,Spotify O-EAST,
5,13:45,30,42,0,Ringwanderung,Ringwanderung,Spotify O-EAST,
6,14:20,30,51,0,THE ORCHESTRA TOKYO,THE ORCHESTRA TOKYO,Spotify O-EAST,
7,14:50,30,65,0,SITUASION,situasion,Spotify O-EAST,
8,15:20,30,33,0,NEO JAPONISM,NEO JAPONISM,Spotify O-EAST,
9,15:50,30,23,0,Kolokol,Kolokol,Spotify O-EAST,
10,16:20,30,10,0,CYNHN,CYNHN,Spotify O-EAST,
11,16:55,30,37,0,PiGGS,PIGGS,Spotify O-EAST,
12,17:25,30,66,0,ukka,ukka,Spotify O-EAST,
13,17:55,30,118,0,高嶺のなでしこ,高嶺のなでしこ,Spotify O-EAST,
14,18:25,30,12,0,FES☆TIVE,FES☆TIVE,Spotify O-EAST,
15,18:55,30,69,0,かすみ草とステラ,かすみ草とステラ,Spotify O-EAST,
16,19:30,30,79,0,のんふぃく！,のんふぃく！,Spotify O-EAST,
17,20:00,30,30,0,Merry BAD TUNE.,Merry BAD TUNE.,Spotify O-EAST,
18,20:30,30,90,0,ナナランド,ナナランド,Spotify O-EAST,
19,11:20,30,97,1,ポンコツコンポ,ポンコツコンポ,Spotify O-WEST,
20,11:50,30,17,1,I MY ME MINE,I MY ME MINE,Spotify O-WEST,
21,12:20,30,60,1,ideal peco,ideal peco,Spotify O-WEST,
22,12:50,30,73,1,てぃあどろっぷ！,てぃあどろっぷ！,Spotify O-WEST,
23,13:20,30,78,1,のらりくらり,のらりくらり,Spotify O-WEST,
24,13:50,30,2,1,AOAO,AOAO,Spotify O-WEST,
25,14:25,30,52,1,UtaGe!,UtaGe!,Spotify O-WEST,
26,14:55,30,99,1,ラナキュラ,ラナキュラ,Spotify O-WEST,
27,15:25,30,96,1,ベンジャス！,ベンジャス！,Spotify O-WEST,
28,15:55,30,26,1,MEWM,MEWM,Spotify O-WEST,
29,16:25,30,44,1,SCRAMBLE SMILE,SCRAMBLE SMILE,Spotify O-WEST,
30,17:05,30,46,1,STAiNY,STAiNY,Spotify O-WEST,
31,17:35,30,111,1,虹色の飛行少女,虹色の飛行少女,Spotify O-WEST,
32,18:05,30,95,1,フューチャーサイダー,フューチャーサイダー,Spotify O-WEST,
33,18:35,30,75,1,なんキニ！,なんキニ!,Spotify O-WEST,
34,19:05,30,101,1,ルルネージュ,ルルネージュ,Spotify O-WEST,
35,19:40,30,102,1,可憐なアイボリー,可憐なアイボリー,Spotify O-WEST,
36,20:10,30,93,1,ネコプラpixx.,ネコプラpixx.,Spotify O-WEST,
37,11:20,30,29,2,Ma'Scar'Piece,Ma’Scar’Piece,LIVE WOMB,
38,11:50,30,54,2,YOLOZ,YOLOZ,LIVE WOMB,
39,12:20,30,35,2,NightOwl,NightOwl,LIVE WOMB,
40,12:50,30,55,2,airattic,airattic,LIVE WOMB,
41,13:20,30,38,2,PRSMIN,PRSMIN,LIVE WOMB,
42,14:00,30,84,2,キングサリ,キングサリ,LIVE WOMB,
43,14:30,30,43,2,SAISON,SAISON,LIVE WOMB,
44,15:00,30,31,2,"Mirror,Mirror","Mirror,Mirror",LIVE WOMB,
45,15:30,30,27,2,Maison de Queen,Maison de Queen,LIVE WOMB,
46,16:00,30,105,2,最終未来少女,最終未来少女,LIVE WOMB,
47,16:40,30,6,2,BELLRING少女ハート,BELLRING少女ハート,LIVE WOMB,
48,17:10,30,39,2,Quubi,Quubi,LIVE WOMB,
49,17:40,30,56,2,feelNEO,feelNEO,LIVE WOMB,
50,18:10,30,71,2,さとりモンスター,さとりモンスター,LIVE WOMB,
51,18:40,30,76,2,にっぽんワチャワチャ,にっぽんワチャチャ,LIVE WOMB,
52,19:20,30,32,2,NARLOW,NARLOW,LIVE WOMB,
53,19:50,30,7,2,BLACKNAZARENE,BLACKNAZARENE,LIVE WOMB,
54,11:20,25,15,3,HACK,HACK,SHIBUYA RING,
55,11:45,25,80,3,ぴ〜ちくぱ〜ちく,ぴ〜ちくぱ〜ちく,SHIBUYA RING,
56,12:10,25,4,3,Aerolipop,Aerolipop,SHIBUYA RING,
57,12:35,25,41,3,RiNCENT#,RiNCENT♯,SHIBUYA RING,
58,13:00,25,9,3,BUNGEE GUM,BUNGEE GUM.,SHIBUYA RING,
59,13:25,25,62,3,kimikara(きみから),kimikara（きみから）,SHIBUYA RING,
60,13:55,25,77,3,にっぽん！真骨頂,にっぽん！真骨頂,SHIBUYA RING,
61,14:20,25,87,3,スターチスのラブレター,スターチスのラブレター,SHIBUYA RING,
62,14:45,25,92,3,ニーキューノメガ,ニーキューオメガ,SHIBUYA RING,
63,15:10,25,59,3,iNeo Moon,i Neo Moon,SHIBUYA RING,
64,15:35,25,82,3,みらサブ！,みらサプ！,SHIBUYA RING,
65,16:10,25,81,3,ぼくはまだしなない,ぼくはまだしなない,SHIBUYA RING,
66,16:35,25,91,3,ニコルポップ,ニコルポップ,SHIBUYA RING,
67,17:00,25,104,3,星合いのライラック,星合いのライラック,SHIBUYA RING,
68,17:25,25,16,3,Honey Devil,Honey Devil,SHIBUYA RING,
69,17:50,25,0,3,1000日後の話。,1000日後の話。,SHIBUYA RING,
70,18:20,25,85,3,ギガLOVEアップビート,ギガLOVEアップビート,SHIBUYA RING,
71,18:45,25,117,3,雨のち、ハレーション,雨のち、ハレーション,SHIBUYA RING,
72,19:10,25,14,3,FULIT BOX,FULIT BOX,SHIBUYA RING,
73,19:35,25,21,3,JYA☆PON 2.0,JYA☆PON 2.0,SHIBUYA RING,
74,20:00,25,5,3,Amulet A Mute,Amulet A Mute,SHIBUYA RING,
75,11:15,25,28,4,Malcolm Mask McLaren,Malcolm Mask McLaren,Spotify O-nest,
76,11:40,25,103,4,少年秘密倶楽部,少年秘密倶楽部,Spotify O-nest,
77,12:05,25,63,4,may in film,may in film,Spotify O-nest,
78,12:30,25,3,4,AZATOY,AZATOY,Spotify O-nest,
79,13:00,25,115,4,都の国のアリス,都の国のアリス,Spotify O-nest,
80,13:25,25,22,4,KAIJU ON THE STAGE,KAIJU ON THE STAGE,Spotify O-nest,
81,13:50,25,13,4,FOKALITE,FOKALITE,Spotify O-nest,
82,14:15,25,83,4,アンチテーゼ,アンチテーゼ,Spotify O-nest,
83,14:40,25,40,4,ROOKEY♡ROOKEYS,ROOKEY♡ROOKEYS,Spotify O-nest,
84,15:05,25,74,4,どーぴんぐ疑惑,どーぴんぐ疑惑,Spotify O-nest,
85,15:40,25,109,4,空想ロマンス,空想ロマンス,Spotify O-nest,
86,16:05,25,48,4,Shangmoo,Shangmoo,Spotify O-nest,
87,16:30,25,11,4,Chalca,Chalca,Spotify O-nest,
88,16:55,25,49,4,TELLMIT,TELLMIT,Spotify O-nest,
89,17:20,25,68,4,zanka,zanka,Spotify O-nest,
90,17:50,25,1,4,AFTERS,AFTERS,Spotify O-nest,
91,18:15,25,116,4,限りなく白く,限りなく白く,Spotify O-nest,
92,18:40,25,20,4,JINKS,JINKS,Spotify O-nest,
93,19:05,25,45,4,SPRISE,SPRISE,Spotify O-nest,
94,19:30,25,108,4,猫の眼に宇宙,猫の眼に宇宙,Spotify O-nest,
95,19:55,25,106,4,東京ガールズブラボー,東京ガールズブラボー,Spotify O-nest,
96,20:20,25,53,4,YA’ABURNEE,YA'ABURNEE,Spotify O-nest,
97,11:20,25,70,5,こみつきゅおん！,こみっきゅおん！,Veats SHIBUYA,
98,11:45,25,67,5,unSea,unSea,Veats SHIBUYA,
99,12:10,25,34,5,NUANCE,NUANCE,Veats SHIBUYA,
100,12:35,25,36,5,OLNew,OLNew,Veats SHIBUYA,
101,13:00,25,57,5,hakanai,hakanai,Veats SHIBUYA,
102,13:25,25,64,5,selfish,selfish,Veats SHIBUYA,
103,13:55,25,24,5,LADYBABY,LADYBABY,Veats SHIBUYA,
104,14:20,25,113,5,超常フォーチューン,超常フォーチューン,Veats SHIBUYA,
